prompt_variant,word_normalized,feature_text_normalized,feature_text_example,response_frequency,valid_response_count,response_proportion
A,(hot air) balloon,baskets carry passengers and equipment,Baskets carry passengers and equipment,3,20,0.15
A,(hot air) balloon,baskets made of wicker carry passengers,Baskets made of wicker carry passengers,2,20,0.1
A,(hot air) balloon,baskets or gondolas hang below for passengers,Baskets or gondolas hang below for passengers,1,20,0.05
A,(hot air) balloon,can be decorated with colorful patterns,Can be decorated with colorful patterns,2,20,0.1
A,(hot air) balloon,can be decorated with various colors and designs,can be decorated with various colors and designs,1,20,0.05
A,(hot air) balloon,can be decorated with various colors and patterns,can be decorated with various colors and patterns,1,20,0.05
A,(hot air) balloon,can be seen at festivals and events,can be seen at festivals and events,5,20,0.25
A,(hot air) balloon,can be steered by changing altitude,Can be steered by changing altitude,1,20,0.05
A,(hot air) balloon,can carry passengers in a basket,Can carry passengers in a basket,1,20,0.05
A,(hot air) balloon,can carry several passengers in a basket,can carry several passengers in a basket,1,20,0.05
A,(hot air) balloon,can fly at various altitudes,can fly at various altitudes,1,20,0.05
A,(hot air) balloon,can fly for several hours,Can fly for several hours,1,20,0.05
A,(hot air) balloon,can provide a serene and peaceful experience,can provide a serene and peaceful experience,1,20,0.05
A,(hot air) balloon,can reach high altitudes,Can reach high altitudes,3,20,0.15
A,(hot air) balloon,can travel long distances,can travel long distances,1,20,0.05
A,(hot air) balloon,can travel long distances depending on wind,Can travel long distances depending on wind,8,20,0.4
A,(hot air) balloon,can travel long distances with the wind,can travel long distances with the wind,1,20,0.05
A,(hot air) balloon,carries passengers and pilot,carries passengers and pilot,1,20,0.05
A,(hot air) balloon,carries passengers in a basket,carries passengers in a basket,1,20,0.05
A,(hot air) balloon,carries passengers in a basket suspended below,Carries passengers in a basket suspended below,1,20,0.05
A,(hot air) balloon,carries people in a basket,carries people in a basket,1,20,0.05
A,(hot air) balloon,colorful and decorative designs,Colorful and decorative designs,1,20,0.05
A,(hot air) balloon,colorful designs and patterns on the envelope,Colorful designs and patterns on the envelope,1,20,0.05
A,(hot air) balloon,colors and designs can be very decorative,Colors and designs can be very decorative,1,20,0.05
A,(hot air) balloon,colors and designs can be very elaborate,Colors and designs can be very elaborate,1,20,0.05
A,(hot air) balloon,colors and designs can be very vibrant,Colors and designs can be very vibrant,1,20,0.05
A,(hot air) balloon,commonly seen at festivals and events,commonly seen at festivals and events,1,20,0.05
A,(hot air) balloon,decorated with various colors and designs,Decorated with various colors and designs,1,20,0.05
A,(hot air) balloon,descends by releasing hot air or opening a vent,descends by releasing hot air or opening a vent,1,20,0.05
A,(hot air) balloon,famous for festivals and races,Famous for festivals and races,1,20,0.05
A,(hot air) balloon,filled with heated air,filled with heated air,3,20,0.15
A,(hot air) balloon,flies best in cooler weather,flies best in cooler weather,1,20,0.05
A,(hot air) balloon,flies by heating air inside the envelope,flies by heating air inside the envelope,1,20,0.05
A,(hot air) balloon,flies during early morning or late afternoon,flies during early morning or late afternoon,1,20,0.05
A,(hot air) balloon,flies during early morning or late evening,flies during early morning or late evening,1,20,0.05
A,(hot air) balloon,floats in the sky,floats in the sky,1,20,0.05
A,(hot air) balloon,has a history dating back to the 18th century,has a history dating back to the 18th century,1,20,0.05
A,(hot air) balloon,has a long history dating back to the 18th century,has a long history dating back to the 18th century,2,20,0.1
