,singular,plural
0,monkey,Monkeys
1,beaver,Beavers
2,bison,Bison
3,dromedary,Camels
4,squirrel,Squirrels
5,hedgehog,Hedgehogs
6,donkey,Donkeys
7,giraffe,Giraffes
8,hamster,Hamsters
9,deer,Deer
10,dog,Dogs
11,polar bear,Polar Bears
12,kangaroo,Kangaroos
13,cat,Cats
14,cow,Cows
15,rabbit,Rabbits
16,llama,Llamas
17,lion,Lions
18,mouse,Mice
19,rhinoceros,Rhinos
20,hippopotamus,Hippos
21,elephant,Elephants
22,horse,Horses
23,sheep,Sheep
24,tiger,Tigers
25,pig,Pigs
26,bat,Bats
27,fox,Foxes
28,wolf,Wolves
29,zebra,Zebras
30,eagle,Eagles
31,dove,Doves
32,duck,Ducks
33,magpie,Magpies
34,pheasant,Pheasants
35,vulture,Vultures
36,rooster,Roosters
37,turkey,Turkeys
38,cabary,Cabaries
39,kip,Kips
40,cuckoo,Cuckoos
41,crow,Crows
42,canary,Canaries
43,chicken,Chickens
44,chickadee,Chickadees
45,seagull,Seagulls
46,blackbird,Blackbirds
47,sparrow,Sparrows
48,stork,Storks
49,parrot,Parrots
50,parakeet,Parakeets
51,peacock,Peacocks
52,pelican,Pelicans
53,penguin,Penguins
54,heron,Herons
55,robin,Robins
56,woodpecker,Woodpeckers
57,ostrich,Ostriches
58,owl,Owls
59,falcon,Falcons
60,swan,Swans
61,swallow,Swallows
62,anchovy,Anchovies
63,dolphin,Dolphins
64,trout,Trout
65,goldfish,Goldfish
66,shark,Sharks
67,herring,Herring
68,squid,Squid
69,cod,Cod
70,carp,Carp
71,orca,Orcas
72,eel,Eels
73,piranha,Piranhas
74,plaice,Plaice
75,flatfish,Flatfish
76,sperm whale,Sperm Whales
77,ray,Rays
78,sardine,Sardines
79,pike,Pikes
80,stickleback,Sticklebacks
81,sole,Soles
82,whale,Whales
83,salmon,Salmon
84,swordfish,Swordfish
85,bee,Bees
86,leech,Leeches
87,horsefly,Horseflies
88,centipede,Centipedes
89,fruit fly,Fruit Flies
90,bumblebee,Bumblebees
91,cockroach,Cockroaches
92,beetle,Beetles
93,cricket,Crickets
94,dragonfly,Dragonflies
95,ladybug,Ladybugs
96,louse,Lice
97,maybug,Cockchafers
98,ant,Ants
99,moth,Moths
100,mosquito,Mosquitoes
101,earwig,Earwigs
102,wood louse,Wood Lice
103,caterpillar,Caterpillars
104,spider,Spiders
105,grasshopper,Grasshoppers
106,fly,Flies
107,butterfly,Butterflies
108,flee,Flees
109,wasp,Wasps
110,worm,Worms
111,viper,Vipers
112,alligator,Alligators
113,boa,Boas
114,cobra,Cobras
115,dinosaur,Dinosaurs
116,gecko,Geckos
117,lizard,Lizards
118,blindworm,Blindworms
119,caiman,Caimans
120,chameleon,Chameleons
121,frog,Frogs
122,crocodile,Crocodiles
123,iguana,Iguanas
124,toad,Toads
125,python,Pythons
126,salamander,Salamanders
127,turtle,Turtles
128,tortoise,Tortoises
129,snake,Snakes
130,monitor lizard,Monitor Lizards
131,helicopter,Helicopters
132,hovercraft,Hovercraft
133,tram,Trams
134,bicycle,Bicycles
135,sled,Sleds
136,zeppelin,Zeppelins
137,carriage,Carriages
138,taxi,Taxis
139,motorbike,Motorbikes
140,boat,Boats
141,train,Trains
142,van,Vans
143,rocket,Rockets
144,airplane,Airplanes
145,cart,Carts
146,submarine,Submarines
147,truck,Trucks
148,bus,Buses
149,car,Cars
150,caravan,Caravans
151,jeep,Jeeps
152,tractor,Tractors
153,skateboard,Skateboards
154,can opener,Can openers
155,plate,Plates
156,toaster,Toasters
157,bottle,Bottles
158,stove,Stoves
159,fridge,Fridges
160,glass,Glasses
161,towel,Towels
162,kettle,Kettles
163,whisk,Whisks
164,percolator,Percolators
165,bowl,Bowls
166,spoon,Spoons
167,microwave oven,Microwave ovens
168,mixer,Mixers
169,nutcracker,Nutcrackers
170,place mat,Place mats
171,oven,Ovens
172,pan,Pans
173,pot,Pots
174,grater,Graters
175,scissors,Scissors
176,apron,Aprons
177,spatula,Spatulas
178,mug,Mugs
179,teaspoon,Teaspoons
180,colander,Colanders
181,fork,Forks
182,electric kettle,Electric kettles
183,scales,Scales
184,wok,Woks
185,sieve,Sieves
186,bra,Bras
187,blouse,Blouses
188,pants,Pants
189,tie,Ties
190,shirt,Shirts
191,hat,Hats
192,coat,Coats
193,jeans,Jeans
194,tracksuit,Tracksuits
195,dress,Dresses
196,suit,Suits
197,boots,Boots
198,beanie,Beanies
199,cap,Caps
200,pyjamas,Pyjamas
201,belt,Belts
202,skirt,Skirts
203,dungarees,Dungarees
204,shoes,Shoes
205,shorts,Shorts
206,scarf,Scarfs
207,panties,Panties
208,socks,Socks
209,sweater,Sweaters
210,top,Tops
211,pullover,Pullovers
212,t-shirt,T-shirts
213,mittens,Mittens
214,bathing suit,Bathing suits
215,accordion,Accordions
216,banjo,Banjos
217,bass guitar,Bass guitars
218,cello,Cellos
219,cymbals,Cymbals
220,double bass,Double bass
221,bagpipe,Bagpipes
222,drum set,Drum sets
223,flute,Flutes
224,bassoon,Bassoons
225,recorder,Recorders
226,guitar,Guitars
227,harp,Harps
228,clarinet,Clarinets
229,harpsichord,Harpsichords
230,harmonica,Harmonicas
231,organ,Organs
232,pan flute,Pan flutes
233,piano,Pianos
234,saxophone,Saxophones
235,synthesizer,Synthesizers
236,tambourine,Tambourines
237,triangle,Triangles
238,trombone,Trombones
239,drum,Drums
240,trumpet,Trumpets
241,violin,Violins
242,scooter,Scooters
243,motorcycle,Motorcycles
244,trailer,Trailers
245,go-cart,Go-carts
246,(hot air) balloon,(Hot Air) balloons
247,subway train,Subway trains
248,kick scooter,Kick scooters
249,bazooka,Bazookas
250,knuckle dusters,Knuckle dusters
251,bow,Bows
252,dagger,Daggers
253,rifle,Rifles
254,grenade,Grenades
255,canon,Canons
256,slingshot,Slingshots
257,club,Clubs
258,machine gun,Machine guns
259,pistol,Pistols
260,shield,Shields
261,spear,Spears
262,stick,Sticks
263,tank,Tanks
264,catapult,Catapults
265,double barrelled shotgun,Double barrelled shotguns
266,sword,Swords
267,whip,Whips
268,anvil,Anvils
269,chisel,Chisels
270,axe,Axes
271,drill,Drills
272,crowbar,Crowbars
273,adjustable spanner,Spanners
274,lawn mower,Lawn mowers
275,hammer,Hammers
276,clamp,Clamps
277,pickaxe,Pickaxes
278,wheelbarrow,Wheelbarrows
279,knife,Knives
280,wrench,Wrenches
281,oilcan,Oilcans
282,filling knife,Filling knifes
283,plough,Ploughs
284,plane,Planes
285,shovel,Shovels
286,screwdriver,Screwdrivers
287,grinding disc,Grinding discs
288,nail,Nails
289,wire brush,Wire brushes
290,vacuum cleaner,Vacuum cleaners
291,tongs,Tongs
292,rope,Ropes
293,paint brush,Paint brushes
294,file,Files
295,level,Levels
296,saw,Saws
