candidate_index,candidate_id,canonical_feature_text,member_phrases,fixed_v3_1_b_cluster_id,fixed_v3_1_b_order,normalization_version,merge_review_status,fixed_v3_1_b_inventory_hash,source_words,source_prompt_families,source_models,source_rounds,source_ids,n_independent_responses,n_source_words,n_source_models,candidate_inventory_hash
0,v4_c3c8f7f56e36c4f3,can be formal or casual,"[""can be casual or formal"", ""can be formal or casual"", ""casual or formal""]",B_011a505df4e1,0,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""blouse"", ""boots"", ""cap"", ""coat"", ""dress"", ""dungarees"", ""hat"", ""jeans"", ""pants"", ""pullover"", ""shirt"", ""shoes"", ""shorts"", ""skirt"", ""socks"", ""sweater"", ""t-shirt"", ""tie""]","[""A"", ""B"", ""C"", ""first_to_mind"", ""less_obvious_general""]","[""Qwen2.5-72B-Instruct""]","[""0"", ""1""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0"", ""v4_qwen2_5_72b_round1""]",919,18,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
1,v4_4d3338b95f9370e2,long tail,"[""has a long tail"", ""long tail""]",B_020e6b6e6ccc,1,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""alligator"", ""caiman"", ""cow"", ""crocodile"", ""cuckoo"", ""dinosaur"", ""donkey"", ""dragonfly"", ""elephant"", ""gecko"", ""giraffe"", ""horse"", ""iguana"", ""lion"", ""lizard"", ""magpie"", ""monitor lizard"", ""monkey"", ""mouse"", ""parakeet"", ""parrot"", ""peacock"", ""pheasant"", ""ray"", ""robin"", ""salamander"", ""tiger""]","[""A"", ""B"", ""C"", ""first_to_mind"", ""perceptual_structural""]","[""Qwen2.5-72B-Instruct""]","[""0"", ""1""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0"", ""v4_qwen2_5_72b_round1""]",731,27,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
2,v4_8a2af8c36e42e914,used in classical music,"[""is often used in classical music"", ""often used in classical music"", ""used in classical music""]",B_03f831773837,2,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""bassoon"", ""canon"", ""cello"", ""clarinet"", ""double bass"", ""flute"", ""harp"", ""harpsichord"", ""organ"", ""piano"", ""saxophone"", ""trumpet"", ""violin""]","[""A"", ""B"", ""C"", ""first_to_mind""]","[""Qwen2.5-72B-Instruct""]","[""0"", ""1""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0"", ""v4_qwen2_5_72b_round1""]",291,13,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
3,v4_c76e5cee146d217c,often black or brown,"[""can be black or brown"", ""can be brown or black"", ""is often brown or black"", ""often black or brown""]",B_041d8e8e1ca6,3,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""beetle"", ""blindworm"", ""boots"", ""cobra"", ""cow"", ""cricket"", ""earwig"", ""horse"", ""leech"", ""monkey"", ""sole"", ""spider""]","[""A"", ""B"", ""C"", ""first_to_mind""]","[""Qwen2.5-72B-Instruct""]","[""0"", ""1""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0"", ""v4_qwen2_5_72b_round1""]",123,12,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
4,v4_44ab13e062ebd7f9,lives in forests,"[""lived in forests"", ""lives in forests""]",B_062bb869fefa,4,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""deer"", ""dinosaur"", ""fox"", ""squirrel"", ""tiger"", ""viper"", ""wolf"", ""woodpecker""]","[""A"", ""B"", ""C"", ""first_to_mind""]","[""Qwen2.5-72B-Instruct""]","[""0"", ""1""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0"", ""v4_qwen2_5_72b_round1""]",120,8,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
5,v4_290db14a37574b81,can be heavy,"[""can be heavy"", ""heavy"", ""is heavy"", ""often heavy""]",B_067e9b96dc88,5,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""accordion"", ""adjustable spanner"", ""anvil"", ""axe"", ""boots"", ""canon"", ""chisel"", ""clamp"", ""club"", ""crowbar"", ""double barrelled shotgun"", ""drill"", ""grinding disc"", ""hammer"", ""knuckle dusters"", ""lawn mower"", ""machine gun"", ""pan"", ""piano"", ""pickaxe"", ""pike"", ""plough"", ""pot"", ""rhinoceros"", ""rifle"", ""saw"", ""shield"", ""shovel"", ""sword"", ""vacuum cleaner"", ""wok"", ""wrench""]","[""A"", ""B"", ""C"", ""first_to_mind"", ""perceptual_structural""]","[""Qwen2.5-72B-Instruct""]","[""0"", ""1""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0"", ""v4_qwen2_5_72b_round1""]",365,32,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
6,v4_3b64096f1168861f,has a handle,"[""can have a handle"", ""handle"", ""handles"", ""has a handle"", ""has handles""]",B_08e5d691f89d,6,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""adjustable spanner"", ""axe"", ""bat"", ""bow"", ""can opener"", ""cart"", ""chisel"", ""clamp"", ""club"", ""colander"", ""dagger"", ""electric kettle"", ""file"", ""filling knife"", ""fork"", ""grater"", ""grenade"", ""hammer"", ""kettle"", ""knife"", ""lawn mower"", ""level"", ""mug"", ""oilcan"", ""paint brush"", ""pan"", ""percolator"", ""plough"", ""pot"", ""saw"", ""scissors"", ""screwdriver"", ""shovel"", ""spatula"", ""spoon"", ""sword"", ""tambourine"", ""teaspoon"", ""wheelbarrow"", ""whip"", ""whisk"", ""wire brush"", ""wok"", ""wrench""]","[""A"", ""B"", ""C"", ""first_to_mind"", ""perceptual_structural""]","[""Qwen2.5-72B-Instruct""]","[""0"", ""1""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0"", ""v4_qwen2_5_72b_round1""]",1145,44,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
7,v4_4b16a8705dfaf0d5,small insect,"[""is a small insect"", ""small insect""]",B_0a3764ddacbb,7,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""ant"", ""cockroach"", ""cricket"", ""earwig"", ""fly"", ""fruit fly"", ""ladybug"", ""louse"", ""mosquito""]","[""A"", ""B"", ""C"", ""first_to_mind"", ""perceptual_structural""]","[""Qwen2.5-72B-Instruct""]","[""0"", ""1""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0"", ""v4_qwen2_5_72b_round1""]",412,9,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
8,v4_f99ce7b44929a6ba,can be venomous,"[""can be venomous"", ""venomous""]",B_0a6ac8286a03,8,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""centipede"", ""cobra"", ""python"", ""snake"", ""spider"", ""viper""]","[""A"", ""B"", ""C"", ""first_to_mind"", ""perceptual_structural""]","[""Qwen2.5-72B-Instruct""]","[""0"", ""1""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0"", ""v4_qwen2_5_72b_round1""]",282,6,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
9,v4_8ea7be492069bdbc,lives in africa,"[""lives in africa""]",B_0c6991466b74,9,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""giraffe"", ""hippopotamus"", ""lion"", ""ostrich"", ""zebra""]","[""A"", ""B"", ""C"", ""first_to_mind""]","[""Qwen2.5-72B-Instruct""]","[""0"", ""1""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0"", ""v4_qwen2_5_72b_round1""]",205,5,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
