source_id,source_version,generation_round,source_model,prompt_variant,rows,phrase_types,candidates
v3_1_qwen2_5_72b_round0,v3.1,0,Qwen2.5-72B-Instruct,A,58600,17450,13869
v3_1_qwen2_5_72b_round0,v3.1,0,Qwen2.5-72B-Instruct,B,58566,10821,8767
v3_1_qwen2_5_72b_round0,v3.1,0,Qwen2.5-72B-Instruct,C,58600,14585,11818
v3_qwen2_5_72b_round0,v3,0,Qwen2.5-72B-Instruct,A,58596,15977,12855
v3_qwen2_5_72b_round0,v3,0,Qwen2.5-72B-Instruct,B,58600,14669,12032
v3_qwen2_5_72b_round0,v3,0,Qwen2.5-72B-Instruct,C,58600,15294,12682
v4_qwen2_5_72b_round1,v4,1,Qwen2.5-72B-Instruct,encyclopedic_causal,58600,37539,21673
v4_qwen2_5_72b_round1,v4,1,Qwen2.5-72B-Instruct,first_to_mind,58600,16025,12517
v4_qwen2_5_72b_round1,v4,1,Qwen2.5-72B-Instruct,functional_affordance,58600,32122,20671
v4_qwen2_5_72b_round1,v4,1,Qwen2.5-72B-Instruct,less_obvious_general,58600,39575,28607
v4_qwen2_5_72b_round1,v4,1,Qwen2.5-72B-Instruct,perceptual_structural,58600,25154,19008
v4_qwen2_5_72b_round1,v4,1,Qwen2.5-72B-Instruct,situational_relational,58600,34252,18440
v4_qwen2_5_72b_round1,v4,1,Qwen2.5-72B-Instruct,taxonomic_definitional,58554,27699,15373
