job_id,word_normalized,feature_id,feature_text,row_hash,adjudicator_idx,feature_value,confidence,ambiguous,reason,parse_error,raw_json
v4_atomic_shard_0021,monkey,0,a baby might drink from a bottle,f244da8c7ba8139b8f854384ffa3412f63f48739cb7053dfbb0e37be9ad5dc4d,1,0,0.95,False,"While true, it is not a common or spontaneous feature that people would list for 'monkey'.",,"{
  ""target_word"": ""monkey"",
  ""feature_id"": 0,
  ""feature_value"": 0,
  ""confidence"": 0.95,
  ""ambiguous"": False,
  ""reason"": ""While true, it is not a common or spontaneous feature that people would list for 'monkey'.""
}"
v4_atomic_shard_0021,monkey,0,a baby might drink from a bottle,f244da8c7ba8139b8f854384ffa3412f63f48739cb7053dfbb0e37be9ad5dc4d,2,0,0.95,False,"While true, it is not a common or spontaneous feature that people would list for 'monkey'.",,"{
  ""target_word"": ""monkey"",
  ""feature_id"": 0,
  ""feature_value"": 0,
  ""confidence"": 0.95,
  ""ambiguous"": False,
  ""reason"": ""While true, it is not a common or spontaneous feature that people would list for 'monkey'.""
}"
v4_atomic_shard_0021,monkey,0,a baby might drink from a bottle,f244da8c7ba8139b8f854384ffa3412f63f48739cb7053dfbb0e37be9ad5dc4d,3,0,0.95,False,"While true, it is not a common or spontaneous feature that people would list for 'monkey'.",,"{
  ""target_word"": ""monkey"",
  ""feature_id"": 0,
  ""feature_value"": 0,
  ""confidence"": 0.95,
  ""ambiguous"": False,
  ""reason"": ""While true, it is not a common or spontaneous feature that people would list for 'monkey'.""
}"
v4_atomic_shard_0021,banjo,33,a banjo often has a resonator on the back to project sound,12f2de6e4ccb578c78e1f4a2ee56ee1ea097134314117624a65995b512b50873,1,2,0.75,False,"A resonator is a known feature of banjos, but it is not as salient or central as other features like strings or body shape.",,"{
  ""target_word"": ""banjo"",
  ""feature_id"": 33,
  ""feature_value"": 2,
  ""confidence"": 0.75,
  ""ambiguous"": False,
  ""reason"": ""A resonator is a known feature of banjos, but it is not as salient or central as other features like strings or body shape.""
}"
v4_atomic_shard_0021,banjo,33,a banjo often has a resonator on the back to project sound,12f2de6e4ccb578c78e1f4a2ee56ee1ea097134314117624a65995b512b50873,2,2,0.75,False,"A resonator is a known feature of banjos, but it is not as salient or central as other features like strings or body shape.",,"{
  ""target_word"": ""banjo"",
  ""feature_id"": 33,
  ""feature_value"": 2,
  ""confidence"": 0.75,
  ""ambiguous"": False,
  ""reason"": ""A resonator is a known feature of banjos, but it is not as salient or central as other features like strings or body shape.""
}"
v4_atomic_shard_0021,banjo,33,a banjo often has a resonator on the back to project sound,12f2de6e4ccb578c78e1f4a2ee56ee1ea097134314117624a65995b512b50873,3,2,0.75,False,"A resonator is a known feature of banjos, but it is not as salient or central as other features like strings or body shape.",,"{
  ""target_word"": ""banjo"",
  ""feature_id"": 33,
  ""feature_value"": 2,
  ""confidence"": 0.75,
  ""ambiguous"": False,
  ""reason"": ""A resonator is a known feature of banjos, but it is not as salient or central as other features like strings or body shape.""
}"
v4_atomic_shard_0021,submarine,42,a bar or lounge,e3ded6aa7a256aa9115dd6433c74dd75ed2d2bd0c952fbf3028dcbad854c2ab8,1,0,0.9,False,A bar or lounge is not a common or central feature that typical participants would spontaneously mention about a submarine.,,"{
  ""target_word"": ""submarine"",
  ""feature_id"": 42,
  ""feature_value"": 0,
  ""confidence"": 0.90,
  ""ambiguous"": False,
  ""reason"": ""A bar or lounge is not a common or central feature that typical participants would spontaneously mention about a submarine.""
}"
v4_atomic_shard_0021,submarine,42,a bar or lounge,e3ded6aa7a256aa9115dd6433c74dd75ed2d2bd0c952fbf3028dcbad854c2ab8,2,0,0.9,False,A bar or lounge is not a common or central feature that typical participants would spontaneously mention about a submarine.,,"{
  ""target_word"": ""submarine"",
  ""feature_id"": 42,
  ""feature_value"": 0,
  ""confidence"": 0.90,
  ""ambiguous"": False,
  ""reason"": ""A bar or lounge is not a common or central feature that typical participants would spontaneously mention about a submarine.""
}"
v4_atomic_shard_0021,submarine,42,a bar or lounge,e3ded6aa7a256aa9115dd6433c74dd75ed2d2bd0c952fbf3028dcbad854c2ab8,3,0,0.9,False,A bar or lounge is not a common or central feature that typical participants would spontaneously mention about a submarine.,,"{
  ""target_word"": ""submarine"",
  ""feature_id"": 42,
  ""feature_value"": 0,
  ""confidence"": 0.90,
  ""ambiguous"": False,
  ""reason"": ""A bar or lounge is not a common or central feature that typical participants would spontaneously mention about a submarine.""
}"
v4_atomic_shard_0021,club,52,a bat can be balanced on a surface when not in use,376f2b7d58dcd33ddd71af944e7ba46e903172e974cd78b0c5b88d2151c82c46,1,0,0.9,False,"While technically true, this feature is not likely to be spontaneously mentioned by typical participants.",,"{
  ""target_word"": ""club"",
  ""feature_id"": 52,
  ""feature_value"": 0,
  ""confidence"": 0.90,
  ""ambiguous"": False,
  ""reason"": ""While technically true, this feature is not likely to be spontaneously mentioned by typical participants.""
}"
v4_atomic_shard_0021,club,52,a bat can be balanced on a surface when not in use,376f2b7d58dcd33ddd71af944e7ba46e903172e974cd78b0c5b88d2151c82c46,2,0,0.9,False,"While technically true, this feature is not likely to be spontaneously mentioned by typical participants.",,"{
  ""target_word"": ""club"",
  ""feature_id"": 52,
  ""feature_value"": 0,
  ""confidence"": 0.90,
  ""ambiguous"": False,
  ""reason"": ""While technically true, this feature is not likely to be spontaneously mentioned by typical participants.""
}"
v4_atomic_shard_0021,club,52,a bat can be balanced on a surface when not in use,376f2b7d58dcd33ddd71af944e7ba46e903172e974cd78b0c5b88d2151c82c46,3,0,0.9,False,"While technically true, this feature is not likely to be spontaneously mentioned by typical participants.",,"{
  ""target_word"": ""club"",
  ""feature_id"": 52,
  ""feature_value"": 0,
  ""confidence"": 0.90,
  ""ambiguous"": False,
  ""reason"": ""While technically true, this feature is not likely to be spontaneously mentioned by typical participants.""
}"
v4_atomic_shard_0021,club,66,a bat can be gripped tightly to provide a secure hold during swings,1300bfdca4fd2deaeabc4c30d16964c6b0debd1eabde7cd40e9edeb6527d0588,1,3,0.85,False,A secure grip is a common and salient feature when discussing how to use a club effectively.,,"{
  ""target_word"": ""club"",
  ""feature_id"": 66,
  ""feature_value"": 3,
  ""confidence"": 0.85,
  ""ambiguous"": False,
  ""reason"": ""A secure grip is a common and salient feature when discussing how to use a club effectively.""
}"
v4_atomic_shard_0021,club,66,a bat can be gripped tightly to provide a secure hold during swings,1300bfdca4fd2deaeabc4c30d16964c6b0debd1eabde7cd40e9edeb6527d0588,2,3,0.85,False,A secure grip is a common and salient feature when discussing how to use a club effectively.,,"{
  ""target_word"": ""club"",
  ""feature_id"": 66,
  ""feature_value"": 3,
  ""confidence"": 0.85,
  ""ambiguous"": False,
  ""reason"": ""A secure grip is a common and salient feature when discussing how to use a club effectively.""
}"
v4_atomic_shard_0021,club,66,a bat can be gripped tightly to provide a secure hold during swings,1300bfdca4fd2deaeabc4c30d16964c6b0debd1eabde7cd40e9edeb6527d0588,3,3,0.85,False,A secure grip is a common and salient feature when discussing how to use a club effectively.,,"{
  ""target_word"": ""club"",
  ""feature_id"": 66,
  ""feature_value"": 3,
  ""confidence"": 0.85,
  ""ambiguous"": False,
  ""reason"": ""A secure grip is a common and salient feature when discussing how to use a club effectively.""
}"
v4_atomic_shard_0021,truck,82,a bat can be stored in equipment bags or racks,38d87530dd5854599299546ab2ad646f9da9459061a01598a9dcf438881ca0ca,1,0,0.9,False,Storing a bat in a truck is possible but not a feature that typical participants would spontaneously mention.,,"{
  ""target_word"": ""truck"",
  ""feature_id"": 82,
  ""feature_value"": 0,
  ""confidence"": 0.90,
  ""ambiguous"": False,
  ""reason"": ""Storing a bat in a truck is possible but not a feature that typical participants would spontaneously mention.""
}"
v4_atomic_shard_0021,truck,82,a bat can be stored in equipment bags or racks,38d87530dd5854599299546ab2ad646f9da9459061a01598a9dcf438881ca0ca,2,0,0.9,False,Storing a bat in a truck is possible but not a feature that typical participants would spontaneously mention.,,"{
  ""target_word"": ""truck"",
  ""feature_id"": 82,
  ""feature_value"": 0,
  ""confidence"": 0.90,
  ""ambiguous"": False,
  ""reason"": ""Storing a bat in a truck is possible but not a feature that typical participants would spontaneously mention.""
}"
v4_atomic_shard_0021,truck,82,a bat can be stored in equipment bags or racks,38d87530dd5854599299546ab2ad646f9da9459061a01598a9dcf438881ca0ca,3,0,0.9,False,Storing a bat in a truck is possible but not a feature that typical participants would spontaneously mention.,,"{
  ""target_word"": ""truck"",
  ""feature_id"": 82,
  ""feature_value"": 0,
  ""confidence"": 0.90,
  ""ambiguous"": False,
  ""reason"": ""Storing a bat in a truck is possible but not a feature that typical participants would spontaneously mention.""
}"
v4_atomic_shard_0021,bat,123,a bat is used to hit a ball in baseball,f55c17e148af97da2466e3f2fe350fa0f1cfa47d352908117c7b2dc156cd4e29,1,4,0.95,False,Using a bat to hit a ball in baseball is a highly central and diagnostic feature that most participants would spontaneously mention.,,"{
  ""target_word"": ""bat"",
  ""feature_id"": 123,
  ""feature_value"": 4,
  ""confidence"": 0.95,
  ""ambiguous"": False,
  ""reason"": ""Using a bat to hit a ball in baseball is a highly central and diagnostic feature that most participants would spontaneously mention.""
}"
v4_atomic_shard_0021,bat,123,a bat is used to hit a ball in baseball,f55c17e148af97da2466e3f2fe350fa0f1cfa47d352908117c7b2dc156cd4e29,2,4,0.95,False,Using a bat to hit a ball in baseball is a highly central and diagnostic feature that most participants would spontaneously mention.,,"{
  ""target_word"": ""bat"",
  ""feature_id"": 123,
  ""feature_value"": 4,
  ""confidence"": 0.95,
  ""ambiguous"": False,
  ""reason"": ""Using a bat to hit a ball in baseball is a highly central and diagnostic feature that most participants would spontaneously mention.""
}"
v4_atomic_shard_0021,bat,123,a bat is used to hit a ball in baseball,f55c17e148af97da2466e3f2fe350fa0f1cfa47d352908117c7b2dc156cd4e29,3,4,0.95,False,Using a bat to hit a ball in baseball is a highly central and diagnostic feature that most participants would spontaneously mention.,,"{
  ""target_word"": ""bat"",
  ""feature_id"": 123,
  ""feature_value"": 4,
  ""confidence"": 0.95,
  ""ambiguous"": False,
  ""reason"": ""Using a bat to hit a ball in baseball is a highly central and diagnostic feature that most participants would spontaneously mention.""
}"
v4_atomic_shard_0021,top,195,a beanie can be given as a gift,c4116864ff25beaf9636f717c0dadad3b4d2016cbb5c22099888ebcb52bd46c9,1,0,0.9,False,The feature is not directly related to the concept of 'top' and is unlikely to be spontaneously listed.,,"{
  ""target_word"": ""top"",
  ""feature_id"": 195,
  ""feature_value"": 0,
  ""confidence"": 0.90,
  ""ambiguous"": False,
  ""reason"": ""The feature is not directly related to the concept of 'top' and is unlikely to be spontaneously listed.""
}"
v4_atomic_shard_0021,top,195,a beanie can be given as a gift,c4116864ff25beaf9636f717c0dadad3b4d2016cbb5c22099888ebcb52bd46c9,2,0,0.9,False,The feature is not directly related to the concept of 'top' and is unlikely to be spontaneously listed.,,"{
  ""target_word"": ""top"",
  ""feature_id"": 195,
  ""feature_value"": 0,
  ""confidence"": 0.90,
  ""ambiguous"": False,
  ""reason"": ""The feature is not directly related to the concept of 'top' and is unlikely to be spontaneously listed.""
}"
v4_atomic_shard_0021,top,195,a beanie can be given as a gift,c4116864ff25beaf9636f717c0dadad3b4d2016cbb5c22099888ebcb52bd46c9,3,0,0.9,False,The feature is not directly related to the concept of 'top' and is unlikely to be spontaneously listed.,,"{
  ""target_word"": ""top"",
  ""feature_id"": 195,
  ""feature_value"": 0,
  ""confidence"": 0.90,
  ""ambiguous"": False,
  ""reason"": ""The feature is not directly related to the concept of 'top' and is unlikely to be spontaneously listed.""
}"
v4_atomic_shard_0021,cap,201,a beanie can be pulled down over the ears for extra warmth,c0f8f651eabed850da4730eea991fcbcb22b98d1aeaa0e66bac67cb9d79eed57,1,0,0.95,False,"A cap is not typically described as being pulled down over the ears for warmth, which is more specific to beanies.",,"{
  ""target_word"": ""cap"",
  ""feature_id"": 201,
  ""feature_value"": 0,
  ""confidence"": 0.95,
  ""ambiguous"": False,
  ""reason"": ""A cap is not typically described as being pulled down over the ears for warmth, which is more specific to beanies.""
}"
v4_atomic_shard_0021,cap,201,a beanie can be pulled down over the ears for extra warmth,c0f8f651eabed850da4730eea991fcbcb22b98d1aeaa0e66bac67cb9d79eed57,2,0,0.95,False,"A cap is not typically described as being pulled down over the ears for warmth, which is more specific to beanies.",,"{
  ""target_word"": ""cap"",
  ""feature_id"": 201,
  ""feature_value"": 0,
  ""confidence"": 0.95,
  ""ambiguous"": False,
  ""reason"": ""A cap is not typically described as being pulled down over the ears for warmth, which is more specific to beanies.""
}"
v4_atomic_shard_0021,cap,201,a beanie can be pulled down over the ears for extra warmth,c0f8f651eabed850da4730eea991fcbcb22b98d1aeaa0e66bac67cb9d79eed57,3,0,0.95,False,"A cap is not typically described as being pulled down over the ears for warmth, which is more specific to beanies.",,"{
  ""target_word"": ""cap"",
  ""feature_id"": 201,
  ""feature_value"": 0,
  ""confidence"": 0.95,
  ""ambiguous"": False,
  ""reason"": ""A cap is not typically described as being pulled down over the ears for warmth, which is more specific to beanies.""
}"
v4_atomic_shard_0021,hat,201,a beanie can be pulled down over the ears for extra warmth,a538ace0219926729a5426dc6c8ea7cdf9d761aa64790b1d2b2ed77921b154e5,1,0,0.9,False,The feature is specific to beanies and not typically associated with hats in general.,,"{
  ""target_word"": ""hat"",
  ""feature_id"": 201,
  ""feature_value"": 0,
  ""confidence"": 0.90,
  ""ambiguous"": False,
  ""reason"": ""The feature is specific to beanies and not typically associated with hats in general.""
}"
v4_atomic_shard_0021,hat,201,a beanie can be pulled down over the ears for extra warmth,a538ace0219926729a5426dc6c8ea7cdf9d761aa64790b1d2b2ed77921b154e5,2,0,0.9,False,The feature is specific to beanies and not typically associated with hats in general.,,"{
  ""target_word"": ""hat"",
  ""feature_id"": 201,
  ""feature_value"": 0,
  ""confidence"": 0.90,
  ""ambiguous"": False,
  ""reason"": ""The feature is specific to beanies and not typically associated with hats in general.""
}"
