word_key,word_forms,n_occurrences,n_sources,roles,appears_as_critical_distractor,appears_as_list_word,source_papers,datasets,critical_distractor_for_lists,list_word_in_lists,associated_critical_items_when_list_word,mean_item_log_frequency_available,mean_item_BAS_to_critical_available,mean_item_FAS_from_critical_available,occurrences_json
ability,Ability,1,1,critical_distractor,True,False,"Brainerd, Chang, & Bialer (2020)",Brainerd2020_120_4word_lists,brainerd2020_120::ability,,,1.76,,,"[{""dataset"": ""Brainerd2020_120_4word_lists"", ""list_id"": ""brainerd2020_120::ability"", ""critical_item"": ""Ability"", ""role"": ""critical_distractor"", ""position"": ""CD""}]"
able,Able,1,1,list_word,False,True,"Brainerd, Chang, & Bialer (2020)",Brainerd2020_120_4word_lists,,brainerd2020_120::ability,ability,2.41,,,"[{""dataset"": ""Brainerd2020_120_4word_lists"", ""list_id"": ""brainerd2020_120::ability"", ""critical_item"": ""Ability"", ""role"": ""list_word"", ""position"": ""T1""}]"
above,above,1,1,list_word,False,True,"Roediger et al. (2001) 55-list DRM pool, augmented with uploaded 2024 supplementary workbook metrics",Roediger2001_55_15word_lists,,roediger2001_55::high,high,3.39689644914252,0.057,0.0,"[{""dataset"": ""Roediger2001_55_15word_lists"", ""list_id"": ""roediger2001_55::high"", ""critical_item"": ""high"", ""role"": ""list_word"", ""position"": ""T7""}]"
absent,Absent,1,1,list_word,False,True,"Brainerd, Chang, & Bialer (2020)",Brainerd2020_120_4word_lists,,brainerd2020_120::present,present,1.37,,,"[{""dataset"": ""Brainerd2020_120_4word_lists"", ""list_id"": ""brainerd2020_120::present"", ""critical_item"": ""Present"", ""role"": ""list_word"", ""position"": ""T3""}]"
abstract,Abstract,1,1,list_word,False,True,"Brainerd, Chang, & Bialer (2020)",Brainerd2020_120_4word_lists,,brainerd2020_120::art,art,1.3,,,"[{""dataset"": ""Brainerd2020_120_4word_lists"", ""list_id"": ""brainerd2020_120::art"", ""critical_item"": ""Art"", ""role"": ""list_word"", ""position"": ""T1""}]"
accept,Accept,1,1,critical_distractor,True,False,"Brainerd, Chang, & Bialer (2020)",Brainerd2020_120_4word_lists,brainerd2020_120::accept,,,1.93,,,"[{""dataset"": ""Brainerd2020_120_4word_lists"", ""list_id"": ""brainerd2020_120::accept"", ""critical_item"": ""Accept"", ""role"": ""critical_distractor"", ""position"": ""CD""}]"
account,Account,1,1,list_word,False,True,"Brainerd, Chang, & Bialer (2020)",Brainerd2020_120_4word_lists,,brainerd2020_120::bank,bank,2.23,,,"[{""dataset"": ""Brainerd2020_120_4word_lists"", ""list_id"": ""brainerd2020_120::bank"", ""critical_item"": ""Bank"", ""role"": ""list_word"", ""position"": ""T1""}]"
acid,acid,1,1,list_word,False,True,"Roediger et al. (2001) 55-list DRM pool, augmented with uploaded 2024 supplementary workbook metrics",Roediger2001_55_15word_lists,,roediger2001_55::bitter,bitter,2.70671778233676,0.0,0.014,"[{""dataset"": ""Roediger2001_55_15word_lists"", ""list_id"": ""roediger2001_55::bitter"", ""critical_item"": ""bitter"", ""role"": ""list_word"", ""position"": ""T11""}]"
act,Act,1,1,critical_distractor,True,False,"Brainerd, Chang, & Bialer (2020)",Brainerd2020_120_4word_lists,brainerd2020_120::act,,,2.31,,,"[{""dataset"": ""Brainerd2020_120_4word_lists"", ""list_id"": ""brainerd2020_120::act"", ""critical_item"": ""Act"", ""role"": ""critical_distractor"", ""position"": ""CD""}]"
add,Add,1,1,critical_distractor,True,False,"Brainerd, Chang, & Bialer (2020)",Brainerd2020_120_4word_lists,brainerd2020_120::add,,,1.83,,,"[{""dataset"": ""Brainerd2020_120_4word_lists"", ""list_id"": ""brainerd2020_120::add"", ""critical_item"": ""Add"", ""role"": ""critical_distractor"", ""position"": ""CD""}]"
admission,Admission,1,1,list_word,False,True,"Brainerd, Chang, & Bialer (2020)",Brainerd2020_120_4word_lists,,brainerd2020_120::accept,accept,1.21,,,"[{""dataset"": ""Brainerd2020_120_4word_lists"", ""list_id"": ""brainerd2020_120::accept"", ""critical_item"": ""Accept"", ""role"": ""list_word"", ""position"": ""T2""}]"
adult,Adult,1,1,list_word,False,True,"Brainerd, Chang, & Bialer (2020)",Brainerd2020_120_4word_lists,,brainerd2020_120::parent,parent,1.42,,,"[{""dataset"": ""Brainerd2020_120_4word_lists"", ""list_id"": ""brainerd2020_120::parent"", ""critical_item"": ""Parent"", ""role"": ""list_word"", ""position"": ""T1""}]"
adventurous,Adventurous,1,1,list_word,False,True,"Brainerd, Chang, & Bialer (2020)",Brainerd2020_120_4word_lists,,brainerd2020_120::dangerous,dangerous,0.74,,,"[{""dataset"": ""Brainerd2020_120_4word_lists"", ""list_id"": ""brainerd2020_120::dangerous"", ""critical_item"": ""Dangerous"", ""role"": ""list_word"", ""position"": ""T1""}]"
advice,Advice,1,1,list_word,False,True,"Brainerd, Chang, & Bialer (2020)",Brainerd2020_120_4word_lists,,brainerd2020_120::comment,comment,1.86,,,"[{""dataset"": ""Brainerd2020_120_4word_lists"", ""list_id"": ""brainerd2020_120::comment"", ""critical_item"": ""Comment"", ""role"": ""list_word"", ""position"": ""T1""}]"
aerobics,Aerobics,1,1,list_word,False,True,"Brainerd, Chang, & Bialer (2020)",Brainerd2020_120_4word_lists,,brainerd2020_120::disaster,disaster,1.83,,,"[{""dataset"": ""Brainerd2020_120_4word_lists"", ""list_id"": ""brainerd2020_120::disaster"", ""critical_item"": ""Disaster"", ""role"": ""list_word"", ""position"": ""T4""}]"
afraid,Afraid,1,1,list_word,False,True,"Brainerd, Chang, & Bialer (2020)",Brainerd2020_120_4word_lists,,brainerd2020_120::lazy,lazy,2.09,,,"[{""dataset"": ""Brainerd2020_120_4word_lists"", ""list_id"": ""brainerd2020_120::lazy"", ""critical_item"": ""Lazy"", ""role"": ""list_word"", ""position"": ""T2""}]"
africa,africa,1,1,list_word,False,True,"Roediger et al. (2001) 55-list DRM pool, augmented with uploaded 2024 supplementary workbook metrics",Roediger2001_55_15word_lists,,roediger2001_55::lion,lion,2.98136550907854,0.014,0.021,"[{""dataset"": ""Roediger2001_55_15word_lists"", ""list_id"": ""roediger2001_55::lion"", ""critical_item"": ""lion"", ""role"": ""list_word"", ""position"": ""T7""}]"
agent,Agent,1,1,critical_distractor,True,False,"Brainerd, Chang, & Bialer (2020)",Brainerd2020_120_4word_lists,brainerd2020_120::agent,,,1.6,,,"[{""dataset"": ""Brainerd2020_120_4word_lists"", ""list_id"": ""brainerd2020_120::agent"", ""critical_item"": ""Agent"", ""role"": ""critical_distractor"", ""position"": ""CD""}]"
air,air,1,1,list_word,False,True,"Roediger et al. (2001) 55-list DRM pool, augmented with uploaded 2024 supplementary workbook metrics",Roediger2001_55_15word_lists,,roediger2001_55::cold,cold,3.85070748537454,0.0,0.0,"[{""dataset"": ""Roediger2001_55_15word_lists"", ""list_id"": ""roediger2001_55::cold"", ""critical_item"": ""cold"", ""role"": ""list_word"", ""position"": ""T12""}]"
air force,air force,1,1,list_word,False,True,"Roediger et al. (2001) 55-list DRM pool, augmented with uploaded 2024 supplementary workbook metrics",Roediger2001_55_15word_lists,,roediger2001_55::army,army,,0.133,0.014,"[{""dataset"": ""Roediger2001_55_15word_lists"", ""list_id"": ""roediger2001_55::army"", ""critical_item"": ""army"", ""role"": ""list_word"", ""position"": ""T5""}]"
airplane,airplane,1,1,list_word,False,True,"Roediger et al. (2001) 55-list DRM pool, augmented with uploaded 2024 supplementary workbook metrics",Roediger2001_55_15word_lists,,roediger2001_55::high,high,2.74663419893758,0.0,0.014,"[{""dataset"": ""Roediger2001_55_15word_lists"", ""list_id"": ""roediger2001_55::high"", ""critical_item"": ""high"", ""role"": ""list_word"", ""position"": ""T13""}]"
album,Album,1,1,list_word,False,True,"Brainerd, Chang, & Bialer (2020)",Brainerd2020_120_4word_lists,,brainerd2020_120::cover,cover,0.97,,,"[{""dataset"": ""Brainerd2020_120_4word_lists"", ""list_id"": ""brainerd2020_120::cover"", ""critical_item"": ""Cover"", ""role"": ""list_word"", ""position"": ""T1""}]"
alcohol,Alcohol; alcohol,2,2,list_word,False,True,"Brainerd, Chang, & Bialer (2020); Roediger et al. (2001) 55-list DRM pool, augmented with uploaded 2024 supplementary workbook metrics",Brainerd2020_120_4word_lists; Roediger2001_55_15word_lists,,brainerd2020_120::beer; roediger2001_55::whiskey,beer; whiskey,2.07368518151951,0.0,0.051,"[{""dataset"": ""Brainerd2020_120_4word_lists"", ""list_id"": ""brainerd2020_120::beer"", ""critical_item"": ""Beer"", ""role"": ""list_word"", ""position"": ""T1""}, {""dataset"": ""Roediger2001_55_15word_lists"", ""list_id"": ""roediger2001_55::whiskey"", ""critical_item"": ""whiskey"", ""role"": ""list_word"", ""position"": ""T7""}]"
ale,Ale,1,1,list_word,False,True,"Brainerd, Chang, & Bialer (2020)",Brainerd2020_120_4word_lists,,brainerd2020_120::clerk,clerk,0.88,,,"[{""dataset"": ""Brainerd2020_120_4word_lists"", ""list_id"": ""brainerd2020_120::clerk"", ""critical_item"": ""Clerk"", ""role"": ""list_word"", ""position"": ""T2""}]"
alien,alien,1,1,list_word,False,True,"Roediger et al. (2001) 55-list DRM pool, augmented with uploaded 2024 supplementary workbook metrics",Roediger2001_55_15word_lists,,roediger2001_55::citizen,citizen,,0.0,0.079,"[{""dataset"": ""Roediger2001_55_15word_lists"", ""list_id"": ""roediger2001_55::citizen"", ""critical_item"": ""citizen"", ""role"": ""list_word"", ""position"": ""T6""}]"
