candidate_id,canonical_feature_text,human_feature,human_feature_retained,mapping_method
v4_9d3667e6ff1d7e0e,a baby might drink from a bottle,,False,
v4_20999760afed7078,a bagpipe is a wind instrument with a bag filled with air,,False,
v4_280031411568cb74,a balanced state,,False,
v4_c50283a929d0f7e5,a banjo can be adjusted for sound quality by changing the tension on the head,,False,
v4_a631b2b72997aab5,a banjo can be adjusted for volume and tone using hardware,,False,
v4_99a4967702a54825,a banjo can be amplified using a pickup for larger venues,,False,
v4_ada18a98d7e7858f,a banjo can be carried and played while standing or sitting,,False,
v4_4df833b9c873a7b1,a banjo can be carried and transported to different locations,,False,
v4_4318bcb5701ac97c,a banjo can be carried to different locations,,False,
v4_0e4338f0cacec766,a banjo can be customized with different strings and accessories,,False,
v4_df3c3a67f4634cfd,a banjo can be disassembled for maintenance and repair,,False,
v4_045b1e6f8167b763,a banjo can be displayed as a decorative item,,False,
v4_ba397f321fa0cb14,a banjo can be modified with different bridges or strings for varied tones,,False,
v4_4607437f282b874c,a banjo can be played to produce music,,False,
v4_269a99eda6c4f7e8,a banjo can be stored in a case for protection,,False,
v4_d34479f45775e9f5,a banjo can be stored in a case for protection during transport,,False,
v4_65de90a8c4ac62f3,a banjo can be strummed to create rhythmic accompaniment,,False,
v4_1c09795768ecc8cc,a banjo can be tuned to different pitches,,False,
v4_8db6da14a9138b01,a banjo can be tuned to different pitches by adjusting its pegs,,False,
v4_4a6cc889d8a4e6e1,a banjo can be used in recording sessions,,False,
v4_56563f210ac8ac38,a banjo can have a fretted or unfretted fingerboard,,False,
v4_53aea399b0d88823,a banjo can have a round or open-back body design,,False,
v4_42ba51f9075a7df6,"a banjo can have various types, including resonator and open-back models",,False,
v4_f51af974888a9393,a banjo is a stringed musical instrument,,False,
v4_a7ff277d96b20817,a banjo is a type of chordophone,,False,
v4_43762885ed8904d6,a banjo is often associated with american traditional music,,False,
v4_741c64ea6f93c28f,a banjo is played by plucking or strumming the strings,,False,
v4_89193f1ea94da495,a banjo is tuned to specific pitches to produce melodies and chords,,False,
v4_75c9b6dc2256a334,a banjo may have a banjo drum or a skin head,,False,
v4_b5cc052eb20c16ae,a banjo may have frets on its neck,,False,
v4_ad6152bd98213155,a banjo may include metal or plastic parts for tuning and resonance,,False,
v4_29aaf47a74f0104d,a banjo neck is usually fretted,,False,
v4_81e8a2d57f4ac1a0,a banjo often has a circular soundboard or head,,False,
v4_004e4d117c197bbd,a banjo often has a resonator on the back to project sound,,False,
v4_af0ea082aa35eb5c,a banjo produces musical notes when its strings are plucked,,False,
v4_0c644788f8e3dfd3,a banjo's neck is usually shorter than that of a guitar,,False,
v4_30bbbeebb2bbfe61,a bar clamp is a subtype of clamp with an elongated bar,,False,
v4_08bd6546c14f2cee,a bar clamp is used for holding large pieces of material,,False,
v4_42cdea43f4226507,a bar clamp is used for joining wood pieces,,False,
v4_f4b547d892f9b3a9,a bar clamp is used for long edges and large surfaces,,False,
v4_64306b8648713cdb,a bar clamp is used to apply even pressure over a wide area,,False,
v4_2fef3039acc5e4c1,a bar clamp provides a long reach for clamping large objects,,False,
v4_fff92ec87541d2ad,a bar or lounge,,False,
v4_ef195511c776f5f2,a bar or lounge with entertainment,,False,
v4_c2e5c734f0101632,a bar with a dance floor,,False,
v4_1f4b2280fa986457,a basket or gondola is suspended beneath the envelope to carry passengers and a heat source,,False,
v4_d5f43bee0cbf1730,a bass guitar is a member of the guitar family,,False,
v4_8a05b659221a5960,a bass guitar often has an electronic pickup system,,False,
v4_3264962020fb1ee9,a bass guitar often includes electronic components like pickups and controls,,False,
v4_48a5adaad0605199,a bassoon requires complex fingerings for playing,,False,
v4_e5fe9f36abbb5666,a bat can be balanced on a shoulder while waiting,,False,
v4_b1a001c863df2650,a bat can be balanced on a surface for display,,False,
v4_c2e92d698e02bf79,a bat can be balanced on a surface when not in use,,False,
v4_87e04f92011a8e3c,a bat can be balanced on one's shoulder while waiting,,False,
v4_5c0f5c5cae7a4321,a bat can be carried by players and coaches during games,,False,
v4_44ecf75bf2c842bf,a bat can be carried by players between bases,,False,
v4_f66d232c82bd3105,a bat can be carried from place to place,,False,
v4_51a544ca9f5bb804,a bat can be carried in one hand,,False,
v4_ef688cedd2dd78e9,a bat can be carried over the shoulder for transportation,,False,
v4_a39b4c9226856aa1,a bat can be customized with grips or tape,,False,
v4_568fbadcbcf0fc91,a bat can be customized with grips or tapes for better handling,,False,
v4_88285a0515e2be86,a bat can be customized with personal engravings or designs,,False,
v4_b44683f90ae77e63,a bat can be decorated or painted for aesthetic purposes,,False,
v4_fcb5257b05edb11d,a bat can be decorated or personalized,,False,
v4_372e2c907ee464fb,a bat can be decorated or personalized by players,,False,
v4_9ad0f96e1f244c65,a bat can be displayed as a trophy or memorabilia,,False,
v4_821d2928492867c7,a bat can be gripped tightly to provide a secure hold during swings,,False,
v4_53fdbfc0240615c3,a bat can be held and carried by a player,,False,
v4_1606cfc84f1c55ab,a bat can be held and manipulated with one hand,,False,
v4_e57f05ea881d88bf,a bat can be held to provide a sense of security,,False,
v4_dbe7e6a41f7d8f71,a bat can be hung on a wall as a decorative item,,False,
v4_4ecee5b2110d51e3,a bat can be inspected for damage before and after use,,False,
v4_7a5177606cd6b0e0,a bat can be leaned against a wall for storage,,False,
v4_4e5de20f39dccedb,a bat can be leaned against a wall or fence,,False,
v4_72b815ec60a8f20b,a bat can be made of wood or metal for different leagues,,False,
v4_a7d11c1ba4854c56,a bat can be placed on the ground to mark positions,,False,
v4_7cc965b389c0f07e,a bat can be rested against surfaces for temporary storage,,False,
v4_0e63feea9d1bf85c,a bat can be rested on the ground or against a surface,,False,
v4_6313873b1572051e,a bat can be signed by athletes for memorabilia,,False,
v4_67cd1c82e590252a,a bat can be stored in a bag or rack,,False,
v4_6f1366e332ccbf71,a bat can be stored in a bag or rack between uses,,False,
v4_10cf79d47a0a52a5,a bat can be stored in a bag or rack with other sports equipment,,False,
v4_a70ab69ce8ed5bad,a bat can be stored in equipment bags or racks,,False,
v4_9e7715e7905dfba9,a bat can be swung by a player to score runs,,False,
v4_7be1ee23d83b8da3,a bat can be swung to block or deflect objects,,False,
v4_53e11981701afc78,a bat can be swung to defend against an attacker,,False,
v4_eb6f6fd555b2efdf,a bat can be tapped to produce sound signals,,False,
v4_1f10899b398cfab0,a bat can be thrown as a projectile,,False,
v4_1067ef36696f6871,a bat can be thrown to create a distraction,,False,
v4_fb7772455932b6f7,a bat can be thrown to create a distraction or cause damage,,False,
v4_378d8b4d4870a82e,a bat can be used as a lever to pry open objects,,False,
