source_id,prompt_family,responses_per_word,phrase_types,candidate_count
v3_1_qwen2_5_72b_round0,A,5,7789,6803
v3_1_qwen2_5_72b_round0,A,10,11890,9883
v3_1_qwen2_5_72b_round0,A,15,14971,12111
v3_1_qwen2_5_72b_round0,A,20,17450,13869
v3_1_qwen2_5_72b_round0,B,5,5617,4810
v3_1_qwen2_5_72b_round0,B,10,7912,6608
v3_1_qwen2_5_72b_round0,B,15,9569,7857
v3_1_qwen2_5_72b_round0,B,20,10821,8767
v3_1_qwen2_5_72b_round0,C,5,6897,6030
v3_1_qwen2_5_72b_round0,C,10,10170,8547
v3_1_qwen2_5_72b_round0,C,15,12620,10405
v3_1_qwen2_5_72b_round0,C,20,14585,11818
v3_qwen2_5_72b_round0,A,5,7390,6474
v3_qwen2_5_72b_round0,A,10,11053,9307
v3_qwen2_5_72b_round0,A,15,13743,11301
v3_qwen2_5_72b_round0,A,20,15977,12855
v3_qwen2_5_72b_round0,B,5,6802,6062
v3_qwen2_5_72b_round0,B,10,10148,8702
v3_qwen2_5_72b_round0,B,15,12572,10522
v3_qwen2_5_72b_round0,B,20,14669,12032
v3_qwen2_5_72b_round0,C,5,7055,6322
v3_qwen2_5_72b_round0,C,10,10532,9079
v3_qwen2_5_72b_round0,C,15,13129,11062
v3_qwen2_5_72b_round0,C,20,15294,12682
v4_qwen2_5_72b_round1,encyclopedic_causal,5,12213,9858
v4_qwen2_5_72b_round1,encyclopedic_causal,10,21754,15178
v4_qwen2_5_72b_round1,encyclopedic_causal,15,30031,18853
v4_qwen2_5_72b_round1,encyclopedic_causal,20,37539,21673
v4_qwen2_5_72b_round1,first_to_mind,5,7129,6160
v4_qwen2_5_72b_round1,first_to_mind,10,10846,8917
v4_qwen2_5_72b_round1,first_to_mind,15,13667,10908
v4_qwen2_5_72b_round1,first_to_mind,20,16025,12517
v4_qwen2_5_72b_round1,functional_affordance,5,11464,9506
v4_qwen2_5_72b_round1,functional_affordance,10,19596,14440
v4_qwen2_5_72b_round1,functional_affordance,15,26274,17913
v4_qwen2_5_72b_round1,functional_affordance,20,32122,20671
v4_qwen2_5_72b_round1,less_obvious_general,5,12628,11201
v4_qwen2_5_72b_round1,less_obvious_general,10,22569,18259
v4_qwen2_5_72b_round1,less_obvious_general,15,31547,23919
v4_qwen2_5_72b_round1,less_obvious_general,20,39575,28607
v4_qwen2_5_72b_round1,perceptual_structural,5,9433,8165
v4_qwen2_5_72b_round1,perceptual_structural,10,15656,12756
v4_qwen2_5_72b_round1,perceptual_structural,15,20669,16085
v4_qwen2_5_72b_round1,perceptual_structural,20,25154,19008
v4_qwen2_5_72b_round1,situational_relational,5,11821,9060
v4_qwen2_5_72b_round1,situational_relational,10,20425,13309
v4_qwen2_5_72b_round1,situational_relational,15,27650,16138
v4_qwen2_5_72b_round1,situational_relational,20,34252,18440
v4_qwen2_5_72b_round1,taxonomic_definitional,5,10356,7914
v4_qwen2_5_72b_round1,taxonomic_definitional,10,17206,11294
v4_qwen2_5_72b_round1,taxonomic_definitional,15,22795,13583
v4_qwen2_5_72b_round1,taxonomic_definitional,20,27699,15373
