merge_candidate_id,member_phrases,merge_basis,verdict,review_note,reviewer,reviewed_at
561936ee072b587fda6a,"[""falcons are diurnal, hunting primarily during the day"", ""falcons are diurnal, meaning they are active during the day"", ""falcons are primarily diurnal, hunting during the day""]",semantic_profile,,,,
4d79f20f79d3e7361c53,"[""may include compartments or baskets for organizing items"", ""may include storage compartments or baskets""]",semantic_profile,,,,
1501920a06305b8149d0,"[""a drum is often used for rhythmic accompaniment"", ""a drum is often used to keep rhythm in an ensemble"", ""a drum is used for rhythmic accompaniment""]",semantic_profile,,,,
2c08e7cd5a92ac25eab9,"[""bison can be observed and studied by researchers"", ""bison can be studied for their genetic and evolutionary traits""]",semantic_profile,,,,
4ca28dbb0b9c5d1d56f6,"[""rests on the ground and is supported by an endpin"", ""rests on the ground with an endpin""]",semantic_profile,,,,
dae0014707fd3913b71e,"[""high-pitched call sounds like 'chick-a-dee'"", ""loud 'chick-a-dee-dee-dee' call""]",semantic_profile,,,,
a0c068139e0601b9117b,"[""seagulls can be found in flocks, especially near food sources"", ""seagulls often congregate in groups near food sources""]",semantic_profile,,,,
0f29d9519d9d18da3eb0,"[""can simulate acoustic instruments"", ""can simulate traditional instrument sounds""]",semantic_profile,,,,
1d4b63d7126daedfc025,"[""has a safety lever that keeps it from detonating"", ""has a safety lever that prevents detonation"", ""has a safety lever to prevent accidental detonation""]",semantic_profile,,,,
9ff6d98c2c713a8aaf37,"[""uses its stiff tail feathers for support while climbing"", ""uses its tail feathers for support while climbing trees""]",semantic_profile,,,,
94137c7fe66ba6781b8e,"[""parakeet is social and often lives in flocks in the wild"", ""parakeets are highly social and often live in flocks in the wild"", ""parakeets are social animals and often live in pairs or groups"", ""parakeets are social animals and often thrive in pairs or groups"", ""parakeets are social animals and thrive in pairs or groups"", ""parakeets are social birds and often live in flocks in the wild"", ""parakeets are social birds and often live in pairs or groups"", ""parakeets are social birds that often live in flocks"", ""parakeets are social birds that often live in pairs or groups"", ""parakeets can be social with other birds""]",semantic_profile,,,,
38813c498a46db667a59,"[""horsefly population peaks during summer months"", ""horsefly populations peak in summer months""]",semantic_profile,,,,
8f6dcc7f17096a2ad139,"[""may have a basket or rack"", ""may include a basket or rack""]",semantic_profile,,,,
b8641aac1e080ab817a1,"[""in web design, it refers to the top of a page"", ""in web design, refers to the top section of a page"", ""used in web design to denote the top of a page"", ""used in web design to refer to the top of a page""]",semantic_profile,,,,
722044f77b59660a7393,"[""harmonica can be heard in rock and roll music"", ""harmonica can be heard in rock and roll songs"", ""harmonica can be used in rock and roll bands"", ""harmonica is featured in some rock and roll bands"", ""harmonica is featured in some rock and roll songs"", ""harmonica is sometimes included in rock and roll bands"", ""harmonica is sometimes used in rock and roll bands"", ""harmonica is sometimes used in rock and roll songs"", ""harmonica is used in some rock and roll songs"", ""harmonicas are sometimes featured in rock and roll songs"", ""harmonicas are sometimes included in rock and roll performances"", ""harmonicas are sometimes used in rock and roll songs"", ""harmonicas are used in some rock and roll songs"", ""harmonicas can be used in rock and roll bands""]",semantic_profile,,,,
dabcbf4080f398c4fb38,"[""swordfish are eaten as a food source"", ""swordfish can be prepared and eaten as a meal""]",semantic_profile,,,,
ce39c8ec9c8acb72e66b,"[""an oven can be a standalone unit or integrated into a range"", ""an oven may be part of a range or stand-alone"", ""oven can be part of a range or stand-alone appliance"", ""oven can be part of a range or standalone""]",semantic_profile,,,,
8062247d471b027e89a1,"[""are sometimes considered intimate or private clothing"", ""they are sometimes considered intimate or private apparel""]",semantic_profile,,,,
59c7968170910fe6f97a,"[""can be dry cleaned to maintain its appearance and longevity"", ""can be dry cleaned to maintain its quality"", ""can be dry-cleaned to maintain its appearance and texture""]",semantic_profile,,,,
032e129b709d2b7331b4,"[""come in various styles and materials"", ""comes in various styles and materials""]",lexical_signature,,,,
afbfa87ca39df785f163,"[""accordion can be used for various musical genres like folk and classical"", ""accordion can be used in various musical genres including folk and classical"", ""accordion can be used in various musical genres like folk and classical"", ""accordion can be used in various musical genres, including folk and classical"", ""accordion can be used in various musical genres, including folk and classical music"", ""accordion can be used to play various musical genres, including folk and classical music"", ""accordion is often played in folk music ensembles"", ""accordion is often played in folk music performances"", ""accordion is often used in folk and traditional music"", ""accordion is used in various genres including folk and classical music"", ""accordion is used in various music genres including folk and classical""]",semantic_profile,,,,
daa741ec15ae9e3aa067,"[""owls nest in tree cavities and abandoned buildings"", ""owls nest in trees, caves, and abandoned buildings""]",semantic_profile,,,,
bbecb108dd80cc31501c,"[""ovens may include a broiler drawer for high-heat cooking"", ""ovens often have a broiler drawer for high-heat cooking""]",semantic_profile,,,,
eb9a6b2a87e2ffeb9cb1,"[""hippos are among the most dangerous animals to humans in africa"", ""hippos are considered one of the most dangerous animals in africa"", ""hippos are one of the most dangerous animals in africa due to their size and temperament"", ""hippos are one of the most dangerous animals to humans in africa""]",semantic_profile,,,,
074fb520d3fdad7e7bdc,"[""trucks provide a platform for construction equipment"", ""trucks provide a platform for specialized equipment""]",semantic_profile,,,,
9e55eb8826d945237523,"[""tortoises are protected by law in many regions due to declining populations"", ""tortoises are protected by laws in many countries due to conservation concerns""]",semantic_profile,,,,
aa07c461e3d2758dd0b7,"[""automobiles contribute to air pollution and greenhouse gas emissions"", ""cars are a major source of air pollution and greenhouse gas emissions"", ""cars contribute to air pollution and greenhouse gas emissions""]",semantic_profile,,,,
426ae83fb0a68a6e9f00,"[""has a triangular head shape"", ""has a triangular-shaped head""]",lexical_signature,,,,
a40fa2fe0daeab66a618,"[""may feature pockets or decorative elements"", ""may have pockets or decorative elements"", ""may include pockets or decorative elements""]",semantic_profile,,,,
c69b1bd87e3d807b48bd,"[""typically extend from the waist to the ankles"", ""typically reach from the waist to the ankles""]",semantic_profile,,,,
994df3b5cce4a23529de,"[""handheld vacuum cleaners are portable and suitable for quick clean-ups and hard-to-reach areas"", ""portable vacuum cleaners are designed for quick cleanups and small spaces"", ""portable vacuum cleaners, such as handheld and stick models, offer convenience for quick cleaning tasks""]",semantic_profile,,,,
db15d2efb67e69a976df,"[""trousers usually have a zip fly and belt loops"", ""trousers usually have a zip fly and button closure""]",semantic_profile,,,,
4a14d9c66865b98ed88c,"[""llamas are social animals and live in groups"", ""llamas form social bonds with humans and other llamas""]",semantic_profile,,,,
f6d03f031b0897ca2208,"[""spiders use silk for more than just web-building, such as egg sacs and draglines"", ""spiders use silk for more than just web-building, such as egg sacs and wrapping prey"", ""spiders use silk for more than just web-building, such as wrapping prey or creating egg sacs"", ""spiders use silk for web-building, egg sacs, and sometimes as a safety line"", ""spiders use their silk for more than just webs, including egg sacs and wrapping prey""]",semantic_profile,,,,
3c6bdfb2ff78b68c200d,"[""has a d-shaped grip at the top"", ""often has a d-shaped grip""]",semantic_profile,,,,
7f33ecdf3c3c87e9955b,"[""mugs are often dishwasher and microwave safe"", ""mugs can be dishwasher and microwave safe, depending on their material"", ""mugs can be microwavable and dishwasher-safe depending on their material"", ""mugs can be microwave and dishwasher safe, depending on their material""]",semantic_profile,,,,
4426922ab2f162fb7307,"[""ladybug is sometimes kept as a pet in classrooms"", ""ladybug is sometimes kept as a pet in educational settings"", ""ladybugs are sometimes kept as pets in educational settings""]",semantic_profile,,,,
51ceace86c5f1996d360,"[""rabbits have a cecotrophic digestive system, re-ingesting soft feces for nutrients"", ""rabbits have a cecotrophic digestive system, where they re-ingest soft feces to extract additional nutrients"", ""rabbits have a unique digestive system that includes cecotrophy, the reingestion of special feces""]",semantic_profile,,,,
7bf2f1e90a310cc8c9f4,"[""requires manual pumping for air"", ""requires manual pumping of air"", ""requires manual pumping to maintain airflow""]",semantic_profile,,,,
e40d88bdbae6ddf39001,"[""can be equipped with a pulse function for short bursts of mixing"", ""sometimes has a pulse function for short bursts of mixing""]",semantic_profile,,,,
